458	很好吃，小家伙很喜欢，跟朋友从澳洲带回来的一样～	\N	1	172	133******11		0	2018-05-01 22:38:46
459	口味非常一般不会再购买	\N	1	172	136******31		2	2018-04-11 18:39:04
460	价格公道，味道不错，宝宝爱吃。	\N	1	172	135******44		0	2018-03-22 08:39:27
461	物流还太慢，味道不错，孩子说好！	\N	1	172	131******41		0	2018-01-07 09:05:49
462	太少了价钱有点高	\N	1	171	131******55		1	2018-01-09 22:43:55
463	刚收到东西，还没拆封，小孩就吵着要吃了	\N	1	171	134******52		0	2018-02-28 22:44:15
464	挺好吃的	\N	1	171	134******52		0	2018-03-21 18:44:42
465	酸甜、很喜欢、味道不错！感觉很好	\N	1	171	137******33		0	2018-04-18 22:45:02
466	不错！！！！！！！味道很好，喜欢	\N	1	171	135******00		0	2018-05-01 22:45:31
467	货到了，物流很给力，特别好喝，味道不错，价格也可以，赞赞赞	\N	1	170	131******11		0	2018-01-02 22:48:00
468	价格实惠，营养丰富，味道不错，物流很快，满意。	\N	1	170	132******33		0	2018-03-21 13:48:19
469	订了一个月拿到货，又太难吃了	\N	1	170	131******44		2	2018-02-28 22:48:43
470	价格实惠，比超市便宜，食用方便	\N	1	170	131******11		0	2018-04-18 22:49:25
471	很好份量很足，包装完好，不错，吃完再买	\N	1	170	131******55		0	2018-05-02 22:49:42
472	已收到，非常快。坚果很不错一直买这个牌子	\N	1	169	131******44		0	2018-01-10 22:52:23
473	味道不错，就是杏仁和开心果多一点，其他两种少	\N	1	169	135******		0	2018-02-28 22:52:39
474	不错，不错，好多，大人孩子都喜欢	\N	1	169	136******63		0	2018-03-13 13:53:03
475	总体不错哈，适合健身、锻炼前吃，味道还可以	\N	1	169	131******33		0	2018-04-10 22:53:27
476	第二次购买，他们家的产品上一贯觉得还蛮新鲜的	\N	1	169	136******33		0	2018-05-02 22:53:46
477	其它都好，就是物流太忙，巧克力饼干味道棒棒哒！下次再购买！	\N	1	168	131******33		0	2018-01-10 22:55:31
478	味道好极了，双巧的最好吃	\N	1	168	134******33		0	2018-02-28 22:55:47
479	正品保证，快递给力	\N	1	168	137******11		0	2018-04-24 22:56:04
480	以正品直邮，质量很好。值得信赖。	\N	1	168	137******33		0	2018-05-03 22:56:19
481	过以后还是觉得这三种口味 好吃 儿子很喜欢	\N	1	168	134******12		0	2018-03-28 22:56:39
482	巧克力感觉质量就是那样吧。	\N	1	167	131******33		0	2018-01-09 22:59:53
483	物流太长时间了，不过总算收到了	\N	1	167	134******11		0	2018-02-08 23:00:10
484	很好吃	\N	1	167	134******11		0	2018-03-28 23:00:27
485	商品如图，口感细腻，孩子的最爱！	\N	1	167	134******11		0	2018-04-25 23:00:46
486	非常满意，与国外买的一样好吃，以后还会再买。	\N	1	167	136******33		0	2018-05-02 23:01:03
487	真的很不错，值得拥有，继续加油	\N	1	166	131******11		0	2018-01-07 23:12:29
488	牛肉干是原装进口的，有效期限至18年6月，临期还有两个月，牛肉是原片烟熏的，口味不错，软硬适中	\N	1	166	134******11		0	2018-02-21 23:14:30
489	脖很好吃口感好口味不错分量足价格便宜嚼劲十足特价买的商品很好	\N	1	166	134******66		0	2018-02-21 23:15:33
490	一直想买的牛肉干,这次有活动,就买了一包试试,真的很好吃	\N	1	166	136******44		0	2018-04-24 23:15:51
491	口感不错，下次会继续购买	\N	1	166	138******33		0	2018-05-02 23:17:30
492	第三次购买。总体来说作为办公室下午的小零食不错，可以抵饿充饥	\N	1	165	134******33		0	2018-05-02 23:21:38
493	居家旅游聚会没事儿闲的吃着玩必备良品！一搞活动就补货！噢耶！	\N	1	165	134******21		0	2018-04-18 23:22:00
494	很好很划算，京东超级方便的，每次都在这里购物，牛肉干特别好吃，贵有贵的道理	\N	1	165	134******21		0	2018-03-16 23:22:21
495	不便宜！但是味道还行，有嚼劲但还咬得动。	\N	1	165	131******11		0	2018-02-28 23:22:54
496	刚收到，还没开吃，应该就是咱要的那个味！	\N	1	165	134******11		0	2018-01-25 23:23:15
497	穿上相当舒服	\N	1	541	lisa23		0	2018-01-11 18:51:26
498	很舒服，号码稍微大半号的样子，但不影响穿着	\N	1	537	charles308		0	2018-02-14 21:57:15
